Auction Date;M/D/Y Format;Price Sold in GBP;Year Artwork Created;GBP to USD;Artist
5/22/2012;1/1/2005;1800;2005;2994,64;Garry Fabian Miller 
5/22/2012;1/1/1964;2000;1964;3327,38;Elliott Erwitt 
5/22/2012;1/1/1963;420;1963;698,75;Colin Jones 
5/22/2012;1/1/2001;0;2001;0,00;Abelardo Morell 
5/22/2012;1/1/1908;0;1908;0,00;Herbert George Ponting 
5/22/2012;1/1/1943;0;1943;0,00;Robert Capa 
5/22/2012;1/1/1876;400;1876;665,48;William Willoughby Hooper 
5/22/2012;1/1/1944;9000;1944;14973,22;Henri Cartier-Bresson 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1972;2000;1972;3327,38;Ethan Russell 
5/22/2012;1/1/1963;380;1963;632,20;Roberto Salas 
5/22/2012;1/1/1948;500;1948;831,85;Grace Robertson 
5/22/2012;1/1/1953;1200;1953;1996,43;Thurston Hopkins 
5/22/2012;1/1/1956;0;1956;0,00;Henri Cartier-Bresson 
5/22/2012;1/1/2002;2000;2002;3327,38;Garry Fabian Miller 
5/22/2012;1/1/1967;0;1967;0,00;David Hurn 
5/22/2012;1/1/1966;0;1966;0,00;Eve Arnold 
5/22/2012;1/1/1930;0;1930;0,00;Ergy Landau 
5/22/2012;1/1/1860;700;1860;1164,58;Henry Dixon 
5/22/2012;1/1/1932;4000;1932;6654,77;Alexander Rodchenko 
5/22/2012;1/1/2006;0;2006;0,00;Rob Carter 
5/22/2012;1/1/1975;800;1975;1330,95;Malick Sidibé 
5/22/2012;1/1/1970;700;1970;1164,58;David Hurn 
5/22/2012;1/1/1965;0;1965;0,00;David Hurn 
5/22/2012;1/1/1978;1300;1978;2162,80;Hiroshi Sugimoto 
5/22/2012;1/1/1963;250;1963;415,92;Roberto Salas 
5/22/2012;1/1/2001;1500;2001;2495,54;Abelardo Morell 
5/22/2012;1/1/2002;0;2002;0,00;Alec Soth 
5/22/2012;1/1/2004;800;2004;1330,95;Boyd 
5/22/2012;1/1/1983;0;1983;0,00;Paul Hill 
5/22/2012;1/1/1967;0;1967;0,00;Osvaldo Salas 
5/22/2012;1/1/1936;0;1936;0,00;Robert Capa 
5/22/2012;1/1/1969;750;1969;1247,77;Raymond Moore 
5/22/2012;1/1/1975;0;1975;0,00;André Kertész 
5/22/2012;1/1/1965;0;1965;0,00;Roberto Salas 
5/22/2012;1/1/1910;0;1910;0,00;Rudolf Lehnert 
5/22/2012;1/1/1948;0;1948;0,00;Dorothy Wilding 
5/22/2012;1/1/1952;2800;1952;4658,34;Bill Brandt 
5/22/2012;1/1/1969;16000;1969;26619,06;Iain Macmillan 
5/22/2012;1/1/1906;0;1906;0,00;Edward Sheriff Curtis 
5/22/2012;1/1/1971;2600;1971;4325,60;Terry O'Neill 
5/22/2012;1/1/1950;0;1950;0,00;Eve Arnold 
5/22/2012;1/1/1941;800;1941;1330,95;Gyorgy Kepes 
5/22/2012;1/1/1903;0;1903;0,00;Gertrude Käsebier 
5/22/2012;1/1/1954;1000;1954;1663,69;Thurston Hopkins 
5/22/2012;1/1/1956;1100;1956;1830,06;Ed van der Elsken 
5/22/2012;1/1/1860;0;1860;0,00;William Willoughby Hooper 
5/22/2012;1/1/1904;850;1904;1414,14;Jacques Henri Lartigue 
5/22/2012;1/1/1980;0;1980;0,00;Helmut Newton 
5/22/2012;1/1/1955;2000;1955;3327,38;Ansel Adams 
5/22/2012;1/1/1860;1200;1860;1996,43;John Edward Saché 
5/22/2012;1/1/1940;0;1940;0,00;Cecil Beaton 
5/22/2012;1/1/1959;0;1959;0,00;Roberto Salas 
5/22/2012;1/1/1950;8000;1950;13309,53;Robert Doisneau 
5/22/2012;1/1/1955;800;1955;1330,95;Yoshiyuki Iwase 
5/22/2012;1/1/1959;0;1959;0,00;Eve Arnold 
5/22/2012;1/1/1985;1200;1985;1996,43;Tom Wood 
5/22/2012;1/1/1965;0;1965;0,00;Eve Arnold 
5/22/2012;1/1/1951;0;1951;0,00;Grace Robertson 
5/22/2012;1/1/1970;0;1970;0,00;Antanas Sutkus 
5/22/2012;1/1/1953;400;1953;665,48;Richard Sadler 
5/22/2012;1/1/1930;30000;1930;49910,74;Dora Maar 
5/22/2012;1/1/1977;6000;1977;9982,15;Manuel Alvarez -Bravo 
5/22/2012;1/1/1930;0;1930;0,00;Dr Paul Wolff 
5/22/2012;1/1/1952;1400;1952;2329,17;Frances McLaughlin Gill 
5/22/2012;1/1/1998;0;1998;0,00;Axel Hütte 
5/22/2012;1/1/1968;0;1968;0,00;Margaret Murray 
5/22/2012;1/1/1946;500;1946;831,85;Pierre Verger 
5/22/2012;1/1/1872;750;1872;1247,77;Julia Margaret Cameron 
